Classroom_ID,student_ID,studentgender,grade,course,Year,teststarttime,testdurationminutes,test_percentile,growth_percentile
Classroom14,d412b0dbed4649afb069b3e4a43c2fc4,F,3,Language Usage,Year2,0.050810185,31,94,
Classroom14,d412b0dbed4649afb069b3e4a43c2fc4,F,3,Math K-12,Year2,0.906238426,54,90,
Classroom14,d412b0dbed4649afb069b3e4a43c2fc4,F,3,Reading,Year2,0.035474537,56,96,
Classroom14,ec026b030d404d569eae503409e9cf56,M,3,Language Usage,Year2,0.050914352,25,63,
Classroom14,ec026b030d404d569eae503409e9cf56,M,3,Math K-12,Year2,0.906145833,25,51,
Classroom14,ec026b030d404d569eae503409e9cf56,M,3,Reading,Year2,0.036516204,42,72,
Classroom14,2956ff2dd9414644b30751c7cec645a8,F,3,Language Usage,Year2,0.051412037,35,78,
Classroom14,2956ff2dd9414644b30751c7cec645a8,F,3,Math K-12,Year2,0.906226852,47,83,
Classroom14,2956ff2dd9414644b30751c7cec645a8,F,3,Reading,Year2,0.034965278,45,81,
Classroom14,9b60d777b4ff475da1cd9538f0dd1c5a,M,3,Language Usage,Year2,0.051342593,35,68,34
Classroom14,9b60d777b4ff475da1cd9538f0dd1c5a,M,3,Math K-12,Year2,0.906261574,43,65,27
Classroom14,9b60d777b4ff475da1cd9538f0dd1c5a,M,3,Reading,Year2,0.035590278,34,91,88
Classroom14,9221552dfe7b4fe1827e43fd2003c954,M,3,Language Usage,Year2,0.050752315,22,86,
Classroom14,9221552dfe7b4fe1827e43fd2003c954,M,3,Math K-12,Year2,0.90625,28,99,
Classroom14,9221552dfe7b4fe1827e43fd2003c954,M,3,Reading,Year2,0.03525463,32,85,
Classroom14,8883b26bf91947bd959967f2e6f09cee,F,3,Language Usage,Year2,0.053530093,60,79,
Classroom14,8883b26bf91947bd959967f2e6f09cee,F,3,Math K-12,Year2,0.906296296,34,42,
Classroom14,8883b26bf91947bd959967f2e6f09cee,F,3,Reading,Year2,0.035844907,123,80,
Classroom14,7b4532a8998149a591e781931718ff4a,M,3,Language Usage,Year2,0.051215278,25,68,
Classroom14,7b4532a8998149a591e781931718ff4a,M,3,Math K-12,Year2,0.906238426,68,91,
Classroom14,7b4532a8998149a591e781931718ff4a,M,3,Reading,Year2,0.035196759,75,75,
Classroom14,b13828db74d344c998d0b741f0025a50,F,3,Language Usage,Year2,0.052326389,47,66,
Classroom14,b13828db74d344c998d0b741f0025a50,F,3,Math K-12,Year2,0.906319444,53,21,
Classroom14,e2f280c39aad47b7a11fb034e58084cb,F,3,Language Usage,Year2,0.901435185,36,60,
Classroom14,e2f280c39aad47b7a11fb034e58084cb,F,3,Math K-12,Year2,0.906168981,46,38,
Classroom14,e2f280c39aad47b7a11fb034e58084cb,F,3,Reading,Year2,0.036481481,41,60,
Classroom14,0f2c140befd446129dcd6f344d3cc1b1,F,3,Math K-12,Year2,0.906354167,49,37,
Classroom14,0f2c140befd446129dcd6f344d3cc1b1,F,3,Reading,Year2,0.035833333,61,81,
Classroom14,5d112ad423c84091a7e583ac12d3a8d2,M,3,Language Usage,Year2,0.052361111,40,63,
Classroom14,5d112ad423c84091a7e583ac12d3a8d2,M,3,Math K-12,Year2,0.906203704,45,42,
Classroom14,5d112ad423c84091a7e583ac12d3a8d2,M,3,Reading,Year2,0.036145833,67,46,
Classroom14,27e3361512624e13a93ad680d14decc0,M,3,Language Usage,Year2,0.051087963,20,61,
Classroom14,27e3361512624e13a93ad680d14decc0,M,3,Math K-12,Year2,0.90625,24,69,
Classroom14,27e3361512624e13a93ad680d14decc0,M,3,Reading,Year2,0.035555556,32,72,
Classroom9,c042f9c7affe4ed0b9747492c4c3cc32,M,3,Language Usage,Year2,0.900405093,30,73,
Classroom9,c042f9c7affe4ed0b9747492c4c3cc32,M,3,Math K-12,Year2,0.901087963,56,92,
Classroom9,c042f9c7affe4ed0b9747492c4c3cc32,M,3,Reading,Year2,0.898657407,57,89,
Classroom9,4577a57048af4ec4a8f01b750e2cf145,F,3,Language Usage,Year2,0.900439815,35,94,
Classroom9,4577a57048af4ec4a8f01b750e2cf145,F,3,Math K-12,Year2,0.901111111,31,84,
Classroom9,4577a57048af4ec4a8f01b750e2cf145,F,3,Reading,Year2,0.898611111,45,90,
Classroom9,8af07192ecd44f07b0d801b9decd53ff,F,3,Language Usage,Year2,0.900462963,37,93,
Classroom9,8af07192ecd44f07b0d801b9decd53ff,F,3,Math K-12,Year2,0.901087963,59,93,
Classroom9,8af07192ecd44f07b0d801b9decd53ff,F,3,Reading,Year2,0.898657407,59,84,
